iter	MultiClass
0	2.197605174
1	2.110682043
2	2.032776533
3	1.966475577
4	1.907540555
5	1.853915607
6	1.80510773
7	1.761213523
8	1.719214596
9	1.677570488
10	1.641170147
11	1.60650971
12	1.574467096
13	1.542735453
14	1.514369778
15	1.484955577
16	1.458204398
17	1.433578295
18	1.409483916
19	1.385573445
20	1.360160266
21	1.340119344
22	1.320000849
23	1.301088814
24	1.281857704
25	1.263046413
26	1.243449102
27	1.225839641
28	1.209924233
29	1.194760037
30	1.180153008
31	1.164595114
32	1.14861022
33	1.134221812
34	1.120576275
35	1.107039899
36	1.094096065
37	1.082932169
38	1.071277594
39	1.059874699
40	1.048502079
41	1.038380917
42	1.027628274
43	1.017286241
44	1.006294265
45	0.9963986405
46	0.9875814923
47	0.9789731826
48	0.970736983
49	0.9605793343
50	0.9526114533
51	0.9439136395
52	0.9341768671
53	0.9244532131
54	0.916126441
55	0.9058606128
56	0.8984942558
57	0.8904696444
58	0.881534825
59	0.8735894916
60	0.8671877565
61	0.8603343314
62	0.8527338711
63	0.8463635764
64	0.8390984728
65	0.8325056922
66	0.8257619477
67	0.81936759
68	0.8137247487
69	0.8074664773
70	0.8014658629
71	0.7959401884
72	0.7919879674
73	0.7859288206
74	0.7802087776
75	0.7747499408
76	0.7692188254
77	0.762689148
78	0.7581472816
79	0.7523216856
80	0.7468166824
81	0.7410404872
82	0.734333851
83	0.7284967822
84	0.7234333148
85	0.7185637779
86	0.7129728256
87	0.7066195875
88	0.7024002014
89	0.6978582104
90	0.6931190216
91	0.6882705498
92	0.6836936619
93	0.680049408
94	0.676572195
95	0.6720661505
96	0.6676912453
97	0.6643621543
98	0.661000377
99	0.6562979195
100	0.6523808909
101	0.6481208997
102	0.6444702182
103	0.6409334096
104	0.6369353844
105	0.6326626139
106	0.6294653561
107	0.6260066513
108	0.6226452537
109	0.6195529889
110	0.6157856927
111	0.6116057133
112	0.608352585
113	0.6047644777
114	0.6014029247
115	0.5987845455
116	0.5945710531
117	0.5910667638
118	0.5875014613
119	0.5837488422
120	0.5803202096
121	0.577589298
122	0.574080502
123	0.5714834813
124	0.5677313726
125	0.5650069116
126	0.5619934643
127	0.5590313634
128	0.5563629684
129	0.5533442876
130	0.5508212771
131	0.5483597846
132	0.5455358316
133	0.542966883
134	0.5397292382
135	0.5369332043
136	0.5346548964
137	0.5320196084
138	0.5295895677
139	0.5271650457
140	0.5247846243
141	0.5220482989
142	0.5196550263
143	0.5174785902
144	0.5151468668
145	0.5128215553
146	0.5103791973
147	0.5072662346
148	0.505390181
149	0.5033628488
150	0.5010641661
151	0.498721496
152	0.4966918074
153	0.4947473736
154	0.4927250232
155	0.491050217
156	0.4887736575
157	0.4866993138
158	0.4846053295
159	0.4824949045
160	0.4801826073
161	0.4778412644
162	0.4760241343
163	0.4745096811
164	0.4721993332
165	0.4706814865
166	0.4688740211
167	0.4664965514
168	0.4643467277
169	0.4623305114
170	0.4607397102
171	0.4589058322
172	0.4570453271
173	0.4553921535
174	0.4538890789
175	0.4521694042
176	0.450423995
177	0.4484801969
178	0.4467462281
179	0.4451163985
180	0.4432890179
181	0.4413752784
182	0.4398170986
183	0.4381069642
184	0.4366007401
185	0.4348073156
186	0.4330274722
187	0.4316444123
188	0.4300076476
189	0.4281210115
190	0.4266754065
191	0.4246910271
192	0.4232564633
193	0.4217002867
194	0.4204305356
195	0.4185154876
196	0.4170123463
197	0.4152740754
198	0.4137852525
199	0.4124205038
200	0.4106412868
201	0.4090255081
202	0.4076245293
203	0.4060122563
204	0.4046438953
205	0.4035873824
206	0.4018752025
207	0.4005190717
208	0.3989003272
209	0.3978407987
210	0.3965122044
211	0.394962171
212	0.3932263499
213	0.3921254369
214	0.3909501037
215	0.3893793519
216	0.3884167112
217	0.3869821787
218	0.3858290664
219	0.384470919
220	0.3833493219
221	0.3821201714
222	0.3808500602
223	0.3793798462
224	0.378218659
225	0.377230202
226	0.3762174453
227	0.3749955002
228	0.3738624312
229	0.3728624819
230	0.3718051307
231	0.3704108247
232	0.3695156173
233	0.3683566528
234	0.3673824675
235	0.3662408141
236	0.3650515777
237	0.3635883324
238	0.3625402756
239	0.3612671149
240	0.3599530725
241	0.3587693714
242	0.35760389
243	0.3567166738
244	0.3557899399
245	0.3547838716
246	0.353889575
247	0.3527794202
248	0.3518224888
249	0.3507650991
250	0.3498415446
251	0.3487759143
252	0.3476244205
253	0.3467745802
254	0.3459577507
255	0.3451152412
256	0.3439617241
257	0.3427815991
258	0.3417074332
259	0.3409364801
260	0.3398590412
261	0.3388866143
262	0.3378796184
263	0.3366196096
