iter	Passed	Remaining
0	344	344101
1	785	391918
2	1116	371043
3	1566	389983
4	1919	381951
5	2195	363716
6	2424	343889
7	2642	327638
8	2865	315512
9	3092	306120
10	3307	297380
11	3532	290804
12	3794	288075
13	4048	285098
14	4303	282599
15	4622	284310
16	4870	281602
17	5098	278146
18	5311	274245
19	5527	270841
20	5729	267120
21	5950	264516
22	6176	262349
23	6391	259934
24	6618	258124
25	6848	256568
26	7067	254706
27	7300	253435
28	7695	257660
29	7960	257375
30	8174	255517
31	8395	253949
32	8632	252970
33	8897	252795
34	9133	251817
35	9375	251060
36	9622	250450
37	9897	250571
38	10123	249444
39	10352	248455
40	10595	247834
41	10824	246909
42	11068	246330
43	11303	245597
44	11581	245795
45	11860	245973
46	12094	245244
47	12350	244945
48	12590	244353
49	12835	243874
50	13084	243468
51	13341	243232
52	13587	242788
53	13833	242346
54	14069	241738
55	14321	241422
56	14569	241029
57	14811	240567
58	15046	239974
59	15279	239380
60	15527	239028
61	15776	238682
62	16038	238541
63	16290	238255
64	16551	238082
65	16793	237650
66	17048	237403
67	17298	237088
68	17542	236701
69	17796	236443
70	18034	235976
71	18252	235255
72	18494	234854
73	18735	234448
74	18988	234194
75	19233	233835
76	19490	233629
77	19730	233225
78	19977	232904
79	20226	232603
80	20492	232504
81	20739	232180
82	20985	231851
83	21240	231626
84	21481	231242
85	21721	230856
86	21978	230648
87	22237	230456
88	22489	230204
89	22740	229932
90	22994	229692
91	23247	229444
92	23494	229131
93	23732	228740
94	23978	228424
95	24224	228115
96	24470	227800
97	24726	227582
98	24973	227285
99	25220	226988
100	25473	226736
101	25696	226231
102	25953	226020
103	26198	225709
104	26449	225453
105	26697	225167
106	26941	224847
107	27128	224058
108	27360	223652
109	27608	223378
110	27852	223068
111	28105	222833
112	28354	222570
113	28601	222287
114	28864	222128
115	29136	222040
116	29389	221800
117	29635	221516
118	29907	221416
119	30162	221190
120	30441	221140
121	30698	220929
122	30949	220675
123	31226	220600
124	31496	220476
125	31765	220339
126	32027	220159
127	32282	219924
128	32554	219804
129	32837	219761
130	33113	219658
131	33379	219494
132	33662	219439
133	33897	219065
134	34183	219025
135	34487	219099
136	34777	219070
137	35057	218982
138	35350	218971
139	35595	218661
140	35864	218494
141	36107	218170
142	36373	217986
143	36634	217774
144	36885	217495
145	37118	217119
146	37381	216913
147	37640	216687
148	37892	216419
149	38149	216181
150	38413	215977
151	38665	215710
152	38916	215440
153	39176	215217
154	39430	214958
155	39677	214663
156	39926	214380
157	40136	213892
158	40379	213577
159	40617	213242
160	40865	212956
161	41116	212689
162	41373	212451
163	41625	212186
164	41883	211956
165	42138	211710
166	42402	211505
167	42661	211277
168	42921	211050
169	43174	210792
170	43417	210484
171	43682	210285
172	43929	210000
173	44179	209727
174	44431	209465
175	44695	209255
176	44954	209024
177	45211	208784
178	45471	208558
179	45731	208333
180	45996	208129
181	46265	207939
182	46491	207561
183	46752	207336
184	47009	207097
185	47273	206885
186	47497	206500
187	47692	205992
188	47891	205504
189	48121	205150
190	48386	204944
191	48619	204606
192	48820	204134
193	49040	203745
194	49273	203412
195	49499	203047
196	49739	202744
197	49983	202456
198	50218	202136
199	50454	201817
200	50708	201572
201	50943	201250
202	51178	200931
203	51414	200618
204	51662	200348
205	51905	200061
206	52136	199730
207	52359	199369
208	52574	198977
209	52786	198576
210	52982	198118
211	53170	197632
212	53384	197245
213	53575	196779
214	53763	196298
215	53981	195934
216	54202	195578
217	54410	195178
218	54620	194787
219	54869	194535
220	55099	194221
221	55324	193883
222	55540	193520
223	55755	193153
224	55976	192807
225	56200	192475
226	56451	192233
227	56706	192007
228	56958	191769
229	57200	191497
230	57449	191249
231	57713	191051
232	57966	190817
233	58220	190584
234	58473	190348
235	58649	189864
236	58842	189437
237	59082	189162
238	59326	188901
239	59576	188658
240	59820	188397
241	60071	188156
242	60329	187940
243	60568	187663
244	60809	187393
245	61056	187139
246	61297	186869
247	61536	186593
248	61769	186299
249	62022	186066
250	62256	185776
251	62495	185503
252	62717	185178
253	62972	184950
254	63226	184720
255	63475	184474
256	63727	184240
257	63977	183997
258	64238	183785
259	64486	183539
260	64743	183314
261	64993	183072
262	65194	182692
263	65416	182373
264	65653	182096
265	65889	181815
266	66132	181554
267	66387	181327
268	66634	181076
269	66866	180786
270	67050	180369
271	67247	179985
272	67446	179610
273	67641	179224
274	67846	178867
275	68086	178604
276	68326	178339
277	68554	178043
278	68839	177896
279	69122	177743
280	69352	177453
281	69596	177200
282	69872	177027
283	70188	176954
284	70451	176747
285	70700	176503
286	71031	176464
287	71337	176361
288	71591	176130
289	71879	175981
290	72111	175693
291	72319	175349
292	72512	174971
293	72749	174697
294	72982	174415
295	73220	174144
296	73450	173856
297	73688	173587
298	73907	173274
299	74183	173094
300	74409	172798
301	74674	172591
302	74913	172325
303	75149	172053
304	75422	171864
305	75667	171612
306	75914	171363
307	76174	171145
308	76403	170857
309	76631	170566
310	76874	170309
311	77112	170043
312	77342	169757
313	77561	169450
314	77785	169153
315	78031	168904
316	78262	168621
317	78485	168324
318	78752	168121
319	79009	167894
320	79203	167537
321	79437	167263
322	79634	166912
323	79849	166599
324	80079	166318
325	80287	165993
326	80486	165649
327	80716	165370
328	80987	165175
329	81363	165192
330	81612	164950
331	81818	164622
332	82017	164280
333	82234	163977
334	82455	163680
335	82677	163386
336	82901	163096
337	83128	162813
338	83394	162606
339	83633	162346
340	83851	162047
341	84071	161750
342	84282	161439
343	84515	161169
344	84748	160898
345	85004	160672
346	85242	160412
347	85462	160119
348	85700	159859
349	85922	159571
350	86174	159336
351	86390	159036
352	86618	158759
353	86875	158534
354	87100	158253
355	87353	158022
356	87574	157733
357	87825	157497
358	88069	157250
359	88323	157020
360	88540	156723
361	88775	156460
362	89002	156184
363	89217	155885
364	89495	155697
365	89706	155393
366	89951	155147
367	90199	154907
368	90428	154634
369	90664	154374
370	90886	154090
371	91113	153815
372	91352	153560
373	91598	153318
374	91833	153055
375	92072	152800
376	92320	152562
377	92584	152348
378	92834	152111
379	93047	151813
380	93273	151538
381	93540	151330
382	93864	151212
383	94128	150997
384	94374	150753
385	94608	150491
386	94855	150249
387	95076	149966
388	95340	149750
389	95583	149502
390	95805	149221
391	96089	149036
392	96316	148763
393	96557	148513
394	96911	148433
395	97248	148328
396	97472	148050
397	97703	147783
398	97927	147504
399	98170	147255
400	98410	147002
401	98655	146755
402	98901	146511
403	99155	146279
404	99432	146079
405	99713	145886
406	99938	145609
407	100170	145346
408	100391	145064
409	100620	144795
410	100854	144533
411	101075	144253
412	101307	143988
413	101516	143692
414	101760	143445
415	102018	143218
416	102266	142977
417	102469	142673
418	102678	142377
419	102894	142092
420	103159	141874
421	103393	141615
422	103594	141310
423	103832	141055
424	104047	140769
425	104271	140497
426	104476	140199
427	104671	139887
428	104879	139595
429	105096	139313
430	105320	139042
431	105581	138819
432	105836	138589
433	106072	138333
434	106298	138065
435	106527	137801
436	106744	137521
437	106947	137224
438	107177	136962
439	107405	136697
440	107609	136403
441	107837	136138
442	108058	135865
443	108277	135590
444	108508	135330
445	108715	135041
446	108933	134765
447	109151	134490
448	109368	134213
449	109603	133959
450	109835	133702
451	110091	133473
452	110330	133224
453	110568	132973
454	110814	132733
455	111051	132482
456	111282	132224
457	111538	131995
458	111746	131709
459	111971	131444
460	112225	131213
461	112471	130973
462	112708	130722
463	112939	130464
464	113149	130182
465	113373	129916
466	113617	129674
467	113834	129402
468	114074	129155
469	114303	128895
470	114532	128636
471	114744	128358
472	114977	128103
473	115217	127857
474	115478	127633
475	115710	127378
476	115962	127145
477	116185	126880
478	116426	126634
479	116667	126389
480	116888	126122
481	117102	125848
482	117321	125580
483	117533	125304
484	117740	125023
485	117946	124742
486	118163	124472
487	118390	124213
488	118600	123935
489	118806	123655
490	119017	123380
491	119233	123111
492	119472	122865
493	119723	122631
494	119952	122375
495	120164	122103
496	120396	121849
497	120616	121585
498	120827	121312
499	121044	121044
500	121259	120775
501	121458	120490
502	121679	120228
503	121904	119969
504	122119	119701
505	122326	119425
506	122542	119158
507	122768	118901
508	122984	118635
509	123180	118350
510	123384	118072
511	123619	117824
512	123809	117534
513	124022	117265
514	124263	117024
515	124512	116790
516	124719	116517
517	124936	116253
518	125150	115987
519	125370	115726
520	125578	115455
521	125791	115188
522	126013	114930
523	126208	114647
524	126420	114380
525	126672	114150
526	126875	113874
527	127077	113600
528	127287	113331
529	127523	113086
530	127753	112836
531	127995	112597
532	128216	112340
533	128416	112063
534	128666	111831
535	128918	111600
536	129152	111355
537	129382	111105
538	129579	110827
539	129803	110573
540	130020	110313
541	130228	110045
542	130441	109782
543	130682	109542
544	130933	109311
545	131174	109072
546	131409	108827
547	131610	108554
548	131844	108309
549	132088	108072
550	132311	107818
551	132550	107576
552	132793	107339
553	133019	107087
554	133251	106841
555	133496	106605
556	133722	106353
557	133957	106109
558	134182	105857
559	134403	105603
560	134619	105343
561	134831	105082
562	135064	104836
563	135288	104584
564	135521	104339
565	135755	104095
566	135997	103857
567	136227	103609
568	136452	103358
569	136681	103110
570	136921	102870
571	137122	102602
572	137338	102344
573	137557	102089
574	137762	101824
575	137962	101556
576	138189	101306
577	138386	101036
578	138584	100767
579	138791	100504
580	139046	100276
581	139296	100044
582	139554	99818
583	139788	99575
584	139997	99314
585	140204	99052
586	140441	98811
587	140668	98563
588	140888	98310
589	141091	98046
590	141314	97796
591	141522	97535
592	141752	97290
593	141997	97055
594	142227	96810
595	142470	96573
596	142706	96332
597	142949	96096
598	143199	95864
599	143445	95630
600	143689	95394
601	143874	95119
602	144070	94852
603	144314	94616
604	144521	94356
605	144706	94082
606	144911	93822
607	145127	93569
608	145366	93330
609	145585	93079
610	145805	92828
611	146022	92576
612	146264	92339
613	146508	92104
614	146759	91873
615	146995	91633
616	147224	91388
617	147465	91152
618	147727	90927
619	147960	90685
620	148204	90449
621	148448	90214
622	148632	89942
623	148832	89680
624	149081	89449
625	149351	89229
626	149602	88998
627	149858	88769
628	150120	88544
629	150351	88301
630	150593	88064
631	150855	87839
632	151124	87619
633	151386	87393
634	151647	87167
635	151893	86932
636	152153	86705
637	152399	86471
638	152654	86241
639	152913	86013
640	153162	85780
641	153426	85555
642	153674	85321
643	153928	85090
644	154177	84857
645	154438	84630
646	154659	84381
647	154897	84141
648	155138	83903
649	155382	83667
650	155637	83436
651	155877	83198
652	156117	82959
653	156359	82722
654	156581	82474
655	156817	82233
656	157068	82001
657	157309	81762
658	157553	81526
659	157810	81296
660	158059	81062
661	158305	80826
662	158548	80589
663	158790	80351
664	159044	80120
665	159294	79886
666	159540	79650
667	159762	79403
668	160011	79168
669	160258	78933
670	160508	78699
671	160754	78463
672	161015	78234
673	161273	78004
674	161533	77775
675	161796	77547
676	162054	77317
677	162316	77088
678	162557	76849
679	162798	76610
680	163019	76363
681	163248	76118
682	163483	75877
683	163735	75643
684	163991	75412
685	164237	75175
686	164492	74943
687	164737	74706
688	164981	74469
689	165237	74236
690	165501	74008
691	165742	73769
692	165986	73532
693	166222	73291
694	166433	73039
695	166685	72805
696	166944	72574
697	167154	72321
698	167365	72070
699	167588	71823
700	167816	71579
701	168039	71332
702	168266	71088
703	168506	70849
704	168774	70621
705	169033	70390
706	169256	70144
707	169485	69900
708	169728	69663
709	169983	69429
710	170237	69196
711	170484	68959
712	170735	68725
713	170999	68495
714	171248	68259
715	171493	68022
716	171742	67786
717	171961	67539
718	172188	67294
719	172414	67050
720	172638	66804
721	172881	66566
722	173138	66333
723	173384	66096
724	173628	65859
725	173868	65619
726	174107	65379
727	174348	65141
728	174568	64894
729	174764	64639
730	174978	64390
731	175228	64154
732	175430	63901
733	175680	63666
734	175918	63426
735	176151	63184
736	176379	62941
737	176623	62703
738	176850	62459
739	177084	62218
740	177317	61977
741	177548	61735
742	177786	61495
743	178025	61256
744	178252	61012
745	178456	60761
746	178652	60507
747	178858	60257
748	179081	60012
749	179311	59770
750	179544	59529
751	179761	59283
752	179991	59040
753	180211	58795
754	180433	58551
755	180674	58312
756	180894	58067
757	181128	57827
758	181361	57586
759	181573	57339
760	181779	57089
761	182020	56851
762	182240	56606
763	182463	56363
764	182674	56115
765	182901	55873
766	183139	55634
767	183379	55395
768	183611	55154
769	183854	54917
770	184070	54671
771	184302	54431
772	184517	54185
773	184736	53941
774	184951	53695
775	185136	53441
776	185345	53194
777	185581	52955
778	185825	52718
779	186061	52479
780	186299	52240
781	186515	51995
782	186711	51745
783	186942	51504
784	187186	51267
785	187397	51021
786	187629	50781
787	187829	50532
788	188040	50287
789	188298	50053
790	188509	49808
791	188735	49566
792	188947	49321
793	189175	49080
794	189409	48841
795	189647	48603
796	189891	48366
797	190119	48125
798	190359	47887
799	190584	47646
800	190831	47410
801	191039	47164
802	191265	46923
803	191485	46680
804	191711	46439
805	191947	46200
806	192176	45960
807	192365	45710
808	192589	45469
809	192829	45231
810	193058	44991
811	193304	44755
812	193526	44513
813	193765	44275
814	193995	44035
815	194209	43792
816	194425	43549
817	194656	43309
818	194887	43070
819	195105	42827
820	195341	42589
821	195541	42343
822	195770	42103
823	195979	41859
824	196201	41618
825	196405	41373
826	196638	41134
827	196857	40893
828	197087	40653
829	197312	40413
830	197546	40174
831	197771	39934
832	197986	39692
833	198215	39452
834	198442	39213
835	198675	38974
836	198901	38734
837	199141	38497
838	199358	38255
839	199595	38018
840	199812	37776
841	200049	37538
842	200271	37298
843	200521	37063
844	200733	36820
845	200961	36581
846	201190	36342
847	201414	36102
848	201670	35868
849	201933	35635
850	202173	35398
851	202382	35155
852	202612	34916
853	202817	34673
854	203027	34431
855	203225	34187
856	203448	33947
857	203681	33709
858	203926	33473
859	204157	33234
860	204397	32998
861	204624	32758
862	204832	32516
863	205072	32280
864	205323	32044
865	205582	31810
866	205814	31572
867	206071	31338
868	206294	31098
869	206515	30858
870	206731	30618
871	206962	30379
872	207214	30144
873	207463	29908
874	207699	29671
875	207920	29431
876	208130	29190
877	208373	28953
878	208617	28717
879	208856	28480
880	209101	28244
881	209358	28009
882	209607	27773
883	209845	27536
884	210077	27298
885	210318	27061
886	210574	26826
887	210837	26592
888	211072	26354
889	211310	26117
890	211534	25877
891	211813	25645
892	212005	25402
893	212236	25164
894	212504	24930
895	212796	24699
896	213133	24473
897	213391	24238
898	213618	23999
899	213841	23760
900	214055	23519
901	214248	23277
902	214491	23040
903	214783	22808
904	215040	22573
905	215290	22336
906	215533	22099
907	215786	21863
908	216034	21627
909	216249	21387
910	216478	21148
911	216707	20910
912	217104	20687
913	217333	20449
914	217545	20209
915	217751	19968
916	217977	19729
917	218190	19489
918	218419	19251
919	218641	19012
920	218875	18774
921	219122	18537
922	219366	18300
923	219586	18061
924	219827	17823
925	220080	17587
926	220330	17350
927	220577	17113
928	220825	16876
929	221062	16639
930	221308	16401
931	221544	16164
932	221764	15925
933	222009	15688
934	222262	15451
935	222451	15210
