cate,title
케이돌토크,흑발 단발 이름모야 ㅜㅜㅜㅜ
일상토크,말 버벅거리니까 모자란사람 취급하네
GOT7,음중 발카 종특이자너ㅋㅋ
리그 오브 레전드,해외 기자들도 규정 이상하단 말하고있는데
진영(GOT7),아 박찌녕 행커치프 없어서 토끼됐어ㅋㅋㅋㅋㅋ
케이돌토크,에이프릴 음중 무대 보는데 진솔이 예쁘다
케이돌토크,근데 ㅇㅅㅌ 너무 팬들 에이티엠으로 보는거 티나서 별로임ㅋㅋㅋ 상술 오져
드영배,결계 새벽에 시한부 소재라고 누가 얘기해줘서 당장 보러간다
일상토크,직급 대리면 보통 30대야?
비엘,나는 글이 더 좋은 것 같다ㅎㅎㅠㅠㅠㅠ
마크(GOT7),카메라 정신 없어서 마크 예쁜 글리터도 감질맛나게 봄
케이돌토크,초롱 얼굴 너무 내 취향임 ㅠㅠ
케이돌토크,손나은 몸매는 진짜.. 타고나야하는 몸매
케이돌토크,손나은 진짜 손나예뻐...
비엘,ㅋㅋㅋㅋㅋ 길캐당하는 애들 막상 당하면 아이디 안 주려고 하는 거 왜케 웃기지 ㅋㅋㅋ
메이플스토리,메카테에서 시등 영업당하고 바우처 긁어모으는중...
리그 오브 레전드,아니 내부에 기자 출입못한다고 기사 못쓸거면 엔트리는 어케 알겠음 직접 본게 아닌데
비엘,고슴도치가 된 에드 ㅠㅠㅠㅠ 예민하니깐 건들지마 ㅠㅠㅠ
동물의숲,이거 고옥이한테 패턴 받은 거 어디서 사용해?
케이돌토크,에이프릴 무대 왜케 재미없지...
인피니트,하루종일....슈스울해서 눈알이 아파...ㅠ
드영배,근데 송혜교 영화 나왔을때 배우들이 쉴드?쳐준건
케이돌토크,나 솔직히 좀 까빠같을까봐 얘기 안하는데 내돌 살찐거 때문에 살짝 덕심식은적있었음..
일상토크,오래된 친구<<이 타이틀에 매일 필요 없는 것 같옹
하성운,쭈드라 나 셍뽕차서 잠이 안와
일상토크,아 속다래끼 존나아프게남..
케이돌토크,내돌 수트 개잘어울료 특히 쓰리피스
재팬,흐ㅓㅇ어헝 담당 머리 조금
드영배,지금 쉴드치는게 제일 멍청한거아님? 쉴드칠수록 더 까이는데
케이돌토크,황민현 너무너무ㅠ
드영배,당장 너네가 월세살이하는데 니가 사는집 저러고 치고 빠져서 새 주인이 월세 올려달라고 한다 생각해봐....
케이돌토크,드림 보면 팬들이 너무 마플 타는 경향 있는거 같더라
렌,티저 민기컷 움짤 왔어
코로나19,[KBS 대구] 긴급생계자금 지급율 30%..말로만 '긴급'
드영배,차익 버는것도 그렇다치는데 유령법인은 진짜 뭐냐
동물의숲,어쩐지 예전에 해변 숨겨놓고싶더라
케이돌토크,헤메코 구리면 아 아쉽네 이렇게 끝나는 게 아닌 게 문제
방탄소년단,밤이라 센치해져서...태형이한테 넘 고맙다고 말하고 푸다
GOT7,그루브한 안무라고해서 기대했는데
일상토크,결혼식장 갔던 곳 중에 밥 존맛이었던 곳 있어?
일상토크,와 미친 오늘 윰세 심장멎었다
스토브리그,태세변환 보니까 야빠 맏다
케이돌토크,엔시티는 맨날 덬들이 그룹 방식ㅇ ㅣ해하기 쉽다고 읍소하는데
일상토크,와 윰세포 순록이 미쳣네
케이돌토크,에이프릴 오마이걸 커하 찍게 해주세요 🙏🏻
차이나,망기니 담주 예고를 봐버렸어ㅠㅠㅠㅠ
차이나,중국도 영화쪽은 남배중심이 많나?
일상토크,요즘 11년전쯤 산 놀동숲 하는데
드영배,이 드라마는 취향이면 사람 정신못차리게 하는것같음
케이돌토크,아이즈원은 4대 초동 아니고 4대 주작에 껴야 하는 거 아니냐
케이돌토크,진짜 여기 정신병동같애
어쩌다 발견한 하루,짤털하면 짤 정리 할 거 같지?ㅎㅎ
일상토크,새벽마다 발신자제한으로 전화오는데 누군지알고싶다
일상토크,인생 애니 영화 있음?
케이돌토크,트위터 이진호실트보는데 존나욱곀ㅋㅋㅋㅋㅋ
케이돌토크,뭐야... 4대초동이라고 해서 갓세븐.. 옴걸 바알숭 나올줄...
케이돌토크,드림 덕질은 진심 멤들만 보고 간다...
케이돌토크,4대초동 엑소 방탄 세븐틴 아이즈원이라고 떠들고 다니던거 아니야?
백호,아 동호 너무 웃곀ㅋㅋㅋ
케이돌보이즈,쎈나잇💙
코로나19,마스크 급할때 좀 이상한 마스크 샀는데
일상토크,와 미친 오늘 윰세 심장멎었다
스토브리그,태세변환 보니까 야빠 맏다
케이돌토크,엔시티는 맨날 덬들이 그룹 방식ㅇ ㅣ해하기 쉽다고 읍소하는데
일상토크,와 윰세포 순록이 미쳣네
케이돌토크,에이프릴 오마이걸 커하 찍게 해주세요 🙏🏻
차이나,망기니 담주 예고를 봐버렸어ㅠㅠㅠㅠ
차이나,중국도 영화쪽은 남배중심이 많나?
일상토크,요즘 11년전쯤 산 놀동숲 하는데
드영배,이 드라마는 취향이면 사람 정신못차리게 하는것같음
케이돌토크,아이즈원은 4대 초동 아니고 4대 주작에 껴야 하는 거 아니냐
케이돌토크,진짜 여기 정신병동같애
어쩌다 발견한 하루,짤털하면 짤 정리 할 거 같지?ㅎㅎ
일상토크,새벽마다 발신자제한으로 전화오는데 누군지알고싶다
일상토크,인생 애니 영화 있음?
케이돌토크,트위터 이진호실트보는데 존나욱곀ㅋㅋㅋㅋㅋ
케이돌토크,뭐야... 4대초동이라고 해서 갓세븐.. 옴걸 바알숭 나올줄...
케이돌토크,드림 덕질은 진심 멤들만 보고 간다...
케이돌토크,4대초동 엑소 방탄 세븐틴 아이즈원이라고 떠들고 다니던거 아니야?
백호,아 동호 너무 웃곀ㅋㅋㅋ
코로나19,마스크 급할때 좀 이상한 마스크 샀는데
일상토크,와 미친 오늘 윰세 심장멎었다
스토브리그,태세변환 보니까 야빠 맏다
케이돌토크,엔시티는 맨날 덬들이 그룹 방식ㅇ ㅣ해하기 쉽다고 읍소하는데
일상토크,와 윰세포 순록이 미쳣네
케이돌토크,에이프릴 오마이걸 커하 찍게 해주세요 🙏🏻
차이나,망기니 담주 예고를 봐버렸어ㅠㅠㅠㅠ
차이나,중국도 영화쪽은 남배중심이 많나?
일상토크,요즘 11년전쯤 산 놀동숲 하는데
드영배,이 드라마는 취향이면 사람 정신못차리게 하는것같음
케이돌토크,아이즈원은 4대 초동 아니고 4대 주작에 껴야 하는 거 아니냐
케이돌토크,진짜 여기 정신병동같애
어쩌다 발견한 하루,짤털하면 짤 정리 할 거 같지?ㅎㅎ
일상토크,새벽마다 발신자제한으로 전화오는데 누군지알고싶다
일상토크,인생 애니 영화 있음?
케이돌토크,트위터 이진호실트보는데 존나욱곀ㅋㅋㅋㅋㅋ
케이돌토크,뭐야... 4대초동이라고 해서 갓세븐.. 옴걸 바알숭 나올줄...
케이돌토크,드림 덕질은 진심 멤들만 보고 간다...
케이돌토크,4대초동 엑소 방탄 세븐틴 아이즈원이라고 떠들고 다니던거 아니야?
백호,아 동호 너무 웃곀ㅋㅋㅋ
코로나19,마스크 급할때 좀 이상한 마스크 샀는데
일상토크,와 미친 오늘 윰세 심장멎었다
스토브리그,태세변환 보니까 야빠 맏다
케이돌토크,엔시티는 맨날 덬들이 그룹 방식ㅇ ㅣ해하기 쉽다고 읍소하는데
일상토크,와 윰세포 순록이 미쳣네
케이돌토크,에이프릴 오마이걸 커하 찍게 해주세요 🙏🏻
차이나,망기니 담주 예고를 봐버렸어ㅠㅠㅠㅠ
