cate,title
마크(GOT7),마크 글리터 존예
스토브리그,두기 아들은 백퍼 길에서 잃어버리면 동진구장 앞으로 데려다줌ㅇㅇ
유겸,미친 얼굴
송유빈,더쇼 영상 계속나온다 ㅋㅋㅋㅋㅋㅋ
스퀘어,왜 귀여움받는지알것같은 헬스초보자 후기
케이돌토크,난 이번 노래는 잭슨 부분이 제일 좋더라
케이돌토크,제이비 헤어 뭐야
국내유명인,ㅇ) 아무리 봐도 차니 유잼인간인듯..
일상토크,김숙 흡연자였던 거 송은이가 티 엄청냈었는뎈ㅋㅋㅋㅋㅋ
JR,영상보는데 광대 안내려왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
리그 오브 레전드,미스언더스탠딩이 무슨 미스언더스탠딩인지 모르겠네
케이돌토크,잭슨 목소리 넘 좋음
일상토크,법대 1학년은 걍 용어와의 싸움인 듯...
뷰티,신예은 이 사진 주웠는데 이런 렌즈 있을까?
비엘,에드 받아들이지마
남도현,오늘 카메라 얼굴 잘 잡아줘서 좋다
방탄소년단,남준이 하면 사랑의 배터리지
케이돌토크,아까 노래는 카메라가 별로다
동물의숲,나 TOY 침대 빨간색있는데 다른색이랑 교환구해!
일상토크,같이 스터디 하는 애중에 ㄹㅇ 씹아싸화법 쓰는애 있음
국내유명인,다음 생에 남자로 태어나 미스터트롯 참가하겠습니다
케이돌토크,내돌 왕큰데 귀엽다
케이돌토크,청하 5월 12일 정규는 어디서 나온이야기야..?
골든차일드,저 의상 그거생각난다
권은비,디스패치영상 춤 은근 체계적이야ㅋㅋ
일상토크,야통이 하님한테만 이얏호응 하는거라니이 부러워어
드영배,야 저기 연예인들 장관만들자
드영배,사실 이걸로 언급된 연예인들 타격있을거 같지도 않은데
케이돌토크,"헤메코 플 좋아함 평소엔 걍 말안하고 시바럴,, 하고마는데 플탈때 말할수있어서 ㅋㅋㅋ"
드영배,하진이 생일 인별 오전에 올려줘도 됨!! (당당)
케이돌토크,1819 남돌들 컴백텀 작년~올해 어떤지 대충 찾아봤는데
국내유명인,경나잇??
김재환,이거 언제임?? 데뷔 전인가?
코로나19,덴탈 마스크 덬들 한 번 씩 써??
케이돌토크,내돌 빗앤붓인데 메이크업은 만족함
